                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0379,                 5.3364,                0.89334,                0.87645,                0.72656,                 0.8441,                0.66704,                0.72628,                0.99061,                0.80515,                0.07075,                0.00325,                0.00325
                      1,                0.96185,                 0.9799,                0.83977,                0.91574,                0.87994,                0.92985,                0.69911,                0.84122,                0.65845,                0.81416,               0.040533,              0.0063661,              0.0063661
                      2,                 1.0487,                0.89137,                 0.8589,                0.95866,                0.86415,                0.93472,                 0.6685,                0.85353,                0.85025,                0.83857,               0.010096,              0.0092622,              0.0092622
                      3,                 1.0758,                0.87062,                0.86464,                0.92357,                0.86474,                0.92705,                 0.6853,                0.91121,                0.66896,                0.83986,                0.00901,                0.00901,                0.00901
                      4,                 1.1123,                0.78258,                0.86595,                0.94628,                0.83774,                0.93345,                0.68122,                0.86709,                0.56856,                0.84866,                0.00901,                0.00901,                0.00901
                      5,                 1.0318,                0.66353,                0.86951,                0.90329,                0.85457,                0.90703,                0.67334,                0.88564,                 0.6698,                0.84225,                0.00868,                0.00868,                0.00868
                      6,                 1.0551,                0.64071,                0.86397,                0.94482,                0.87458,                0.93836,                0.67973,                 0.8546,                0.55489,                0.82825,                0.00835,                0.00835,                0.00835
                      7,                0.95697,                0.59127,                0.85169,                0.94878,                0.88215,                0.93897,                0.73869,                0.75061,                0.55114,                0.80713,                0.00802,                0.00802,                0.00802
                      8,                0.91413,                0.53075,                0.84835,                0.88103,                0.85842,                 0.9194,                0.70727,                0.82465,                0.58875,                 0.8293,                0.00769,                0.00769,                0.00769
                      9,                0.83842,                0.50093,                0.84664,                0.91144,                0.88233,                0.92849,                0.71396,                0.73522,                0.52609,                 0.8033,                0.00736,                0.00736,                0.00736
                     10,                0.87131,                0.50936,                 0.8232,                0.95296,                0.89962,                0.93789,                0.72599,                0.77695,                0.48615,                0.82154,                0.00703,                0.00703,                0.00703
                     11,                 0.8378,                0.51446,                0.82694,                0.96872,                0.88027,                0.94464,                0.74029,                0.82154,                 0.5109,                0.82386,                 0.0067,                 0.0067,                 0.0067
                     12,                0.83198,                0.49624,                0.82525,                 0.9514,                0.91831,                0.95418,                0.76718,                 0.7189,                0.45387,                0.80577,                0.00637,                0.00637,                0.00637
                     13,                0.77301,                0.47288,                0.82905,                0.97888,                 0.8545,                0.93037,                0.75502,                0.69162,                0.51891,                0.80103,                0.00604,                0.00604,                0.00604
                     14,                 0.7691,                0.46478,                0.81837,                 0.9211,                0.91092,                0.94792,                0.73128,                0.83961,                0.49382,                0.81786,                0.00571,                0.00571,                0.00571
                     15,                0.77773,                0.46018,                0.81123,                0.99109,                0.88957,                0.94419,                0.72714,                0.81907,                0.48157,                 0.8075,                0.00538,                0.00538,                0.00538
                     16,                0.75442,                0.47033,                0.81329,                 0.9661,                0.91864,                0.97165,                0.77889,                0.68184,                0.41301,                0.79695,                0.00505,                0.00505,                0.00505
                     17,                0.72138,                0.43235,                0.81379,                0.97152,                0.89527,                0.95858,                0.78231,                0.69608,                0.43458,                0.79523,                0.00472,                0.00472,                0.00472
                     18,                0.71493,                0.41477,                  0.816,                0.94678,                0.92241,                0.95987,                0.79695,                 0.6572,                0.42636,                0.79264,                0.00439,                0.00439,                0.00439
                     19,                0.68324,                0.41237,                0.79427,                 0.9927,                0.89458,                0.96634,                0.77852,                0.70557,                0.42121,                0.79487,                0.00406,                0.00406,                0.00406
                     20,                0.69322,                0.41665,                0.79573,                0.97584,                0.89358,                0.96583,                0.79624,                0.68681,                0.42314,                0.79301,                0.00373,                0.00373,                0.00373
                     21,                0.66663,                0.39744,                0.80408,                0.96991,                0.89432,                0.96896,                0.78809,                0.71309,                0.41722,                0.79211,                 0.0034,                 0.0034,                 0.0034
                     22,                0.65826,                0.39126,                 0.8102,                0.97503,                0.91287,                0.96413,                0.79714,                0.64828,                0.40366,                0.78849,                0.00307,                0.00307,                0.00307
                     23,                0.64471,                0.38518,                0.79901,                0.95349,                0.91369,                0.96747,                0.79758,                0.65248,                0.39413,                0.78946,                0.00274,                0.00274,                0.00274
                     24,                0.62454,                0.37305,                0.80046,                0.94804,                0.92171,                0.96725,                0.80545,                 0.6397,                0.38887,                0.78659,                0.00241,                0.00241,                0.00241
                     25,                0.62657,                0.35556,                0.79868,                0.98837,                 0.9074,                 0.9752,                0.79613,                0.62997,                0.37153,                0.78429,                0.00208,                0.00208,                0.00208
                     26,                0.59173,                0.34806,                0.79663,                0.99342,                0.89197,                0.97621,                0.80373,                0.63952,                0.37598,                0.78436,                0.00175,                0.00175,                0.00175
                     27,                 0.5981,                0.33877,                0.80166,                0.96782,                 0.9163,                0.97719,                0.81709,                0.62072,                0.37285,                0.77961,                0.00142,                0.00142,                0.00142
                     28,                0.55646,                0.32115,                0.79432,                0.97357,                0.91584,                0.97926,                0.81587,                0.61283,                0.34459,                 0.7803,                0.00109,                0.00109,                0.00109
                     29,                0.55045,                0.31598,                0.79177,                0.96412,                0.93586,                0.97883,                0.81206,                0.62547,                0.35375,                0.78161,                0.00076,                0.00076,                0.00076
